ID	AB	SampleType	Plate	Generation	Treatment	SampleNumber	GenTreat	TypeGenTreat
G1F0C1A	A	Gut	G1	F0	CD	1	F0CD	GF0CD
G1F0C1B	B	Gut	G1	F0	CD	9	F0CD	GF0CD
G1F0C2A	A	Gut	G1	F0	CD	2	F0CD	GF0CD
G1F0C2B	B	Gut	G1	F0	CD	10	F0CD	GF0CD
G1F0C3A	A	Gut	G1	F0	CD	3	F0CD	GF0CD
G1F0C3B	B	Gut	G1	F0	CD	11	F0CD	GF0CD
G1F0C4A	A	Gut	G1	F0	CD	4	F0CD	GF0CD
G1F0C4B	B	Gut	G1	F0	CD	12	F0CD	GF0CD
G1F0C5A	A	Gut	G1	F0	CD	5	F0CD	GF0CD
G1F0C5B	B	Gut	G1	F0	CD	13	F0CD	GF0CD
G1F0C6A	A	Gut	G1	F0	CD	6	F0CD	GF0CD
G1F0C6B	B	Gut	G1	F0	CD	14	F0CD	GF0CD
G1F0C7A	A	Gut	G1	F0	CD	7	F0CD	GF0CD
G1F0C7B	B	Gut	G1	F0	CD	15	F0CD	GF0CD
G1F0C8A	A	Gut	G1	F0	CD	8	F0CD	GF0CD
G1F0C8B	B	Gut	G1	F0	CD	16	F0CD	GF0CD
G1F0H1A	A	Gut	G1	F0	HSD	1	F0HSD	GF0HSD
G1F0H1B	B	Gut	G1	F0	HSD	9	F0HSD	GF0HSD
G1F0H2A	A	Gut	G1	F0	HSD	2	F0HSD	GF0HSD
G1F0H2B	B	Gut	G1	F0	HSD	10	F0HSD	GF0HSD
G1F0H3A	A	Gut	G1	F0	HSD	3	F0HSD	GF0HSD
G1F0H3B	B	Gut	G1	F0	HSD	11	F0HSD	GF0HSD
G1F0H4A	A	Gut	G1	F0	HSD	4	F0HSD	GF0HSD
G1F0H4B	B	Gut	G1	F0	HSD	12	F0HSD	GF0HSD
G1F0H5A	A	Gut	G1	F0	HSD	5	F0HSD	GF0HSD
G1F0H5B	B	Gut	G1	F0	HSD	13	F0HSD	GF0HSD
G1F0H6A	A	Gut	G1	F0	HSD	6	F0HSD	GF0HSD
G1F0H6B	B	Gut	G1	F0	HSD	14	F0HSD	GF0HSD
G1F0H7A	A	Gut	G1	F0	HSD	7	F0HSD	GF0HSD
G1F0H7B	B	Gut	G1	F0	HSD	15	F0HSD	GF0HSD
G1F0H8A	A	Gut	G1	F0	HSD	8	F0HSD	GF0HSD
G1F0H8B	B	Gut	G1	F0	HSD	16	F0HSD	GF0HSD
G1F0N1A	A	Gut	G1	F0	NSD	1	F0NSD	GF0NSD
G1F0N1B	B	Gut	G1	F0	NSD	9	F0NSD	GF0NSD
G1F0N2A	A	Gut	G1	F0	NSD	2	F0NSD	GF0NSD
G1F0N2B	B	Gut	G1	F0	NSD	10	F0NSD	GF0NSD
G1F0N3A	A	Gut	G1	F0	NSD	3	F0NSD	GF0NSD
G1F0N3B	B	Gut	G1	F0	NSD	11	F0NSD	GF0NSD
G1F0N4A	A	Gut	G1	F0	NSD	4	F0NSD	GF0NSD
G1F0N4B	B	Gut	G1	F0	NSD	12	F0NSD	GF0NSD
G1F0N5A	A	Gut	G1	F0	NSD	5	F0NSD	GF0NSD
G1F0N5B	B	Gut	G1	F0	NSD	13	F0NSD	GF0NSD
G1F0N6A	A	Gut	G1	F0	NSD	6	F0NSD	GF0NSD
G1F0N6B	B	Gut	G1	F0	NSD	14	F0NSD	GF0NSD
G1F0N7A	A	Gut	G1	F0	NSD	7	F0NSD	GF0NSD
G1F0N7B	B	Gut	G1	F0	NSD	15	F0NSD	GF0NSD
G1F0N8A	A	Gut	G1	F0	NSD	8	F0NSD	GF0NSD
G1F0N8B	B	Gut	G1	F0	NSD	16	F0NSD	GF0NSD
G1F1C1	A	Gut	G1	F1	CD	1	F1CD	GF1CD
G1F1C10	A	Gut	G1	F1	CD	10	F1CD	GF1CD
