Feature ID,Taxon,Confidence
#q2:types,categorical,categorical
d8eca44b0c9ffca8eed09f33e4e6351a,k__Bacteria,0.988348814
a91a10f8b70e7103ddc5594c687f2b4c,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bartonellaceae; g__; s__,0.941343674
21af4089fe635b8b45d5aa4c3329a5c0,k__Bacteria,0.973703974
bbb7fd9567eb4ac633d0d07ee4ca91f7,k__Bacteria; p__OD1; c__; o__; f__; g__; s__,0.71295237
635af27b7245e7a66bc5ea8bdd63d6f5,k__Bacteria; p__OD1; c__; o__; f__; g__; s__,0.836661231
3f93f7985e9d0661ddfa779bc3b4850b,k__Bacteria,0.981075957
b021498fd65b8db18c71a650a83d6c0f,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii,0.813488282
e5d86be4243ece5a057a316bd556ce1b,k__Bacteria,0.964438885
fa0f2ffe21079509949f7ed6fd764bb4,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acetobacter; s__,0.989161971
8d721d3dd75d6ab73305fd4c6594f067,k__Bacteria,0.979134808
c27953ad2614572606a8b3e3df7b3d4a,k__Bacteria,0.983223039
2b8b9fc46c4f634419e33082a18be8f2,k__Bacteria; p__OD1; c__; o__; f__; g__; s__,0.856192067
706d0f21024f354ef86058fdb5ec4e26,k__Bacteria,0.976802402
a8ce7dd2cda7bf398146a70d77a350e1,k__Bacteria,0.95584576
cecd823d3d8330b66cccbe53a2bf562e,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium,0.987851601
80138f79309b480f5a29a59912ce710b,k__Bacteria,0.998677757
c2ae40f6b6c0268c78d9186b3541dd1c,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acetobacter; s__,0.808693516
c949ef3e1e49944217b43872e95e68cf,k__Bacteria,0.87458635
ece07114e4d4e0caeb4e1401525eb9b8,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__; s__,0.952077213
7b3f7790ff822f14ef7a76badf8bb4e9,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,0.983000874
2a6c486c1f636db03e0e1afa8d58db3e,k__Bacteria,0.967770959
b9ee17ee2d44bc630e9bf7fd66638207,k__Bacteria; p__OD1; c__; o__; f__; g__; s__,0.846461504
195483abe55c2204038873e989dcc4ab,k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__,0.999911789
372f418dda37672cbdf268848a22fb6d,k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Trueperaceae; g__Truepera; s__,0.99999017
